"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"697","V0809","V","8","9","Sulfato de Bario","Polvo para enema","Según disponibilidad","V08BA02","","280.75","","True",""
"698","A0608","A","6","8","Sulfato de Magnesio","Granulado","20 g a 30 g","A06AD04","","2.08","30 g","True",""
"699","B0533","B","5","33","Sulfato de Magnesio","Inyectable","0.1","B05XA05","","5.2","10 ml","True",""
"700","B0306","B","3","6","Sulfato ferroso","Comprimido","200 mg","B03AA07","","0.37","","True",""
"701","B0307","B","3","7","Sulfato ferroso","Solución oral","125 mg/ml","B03AA07","","12.86","","True",""
"702","B0308","B","3","8","Sulfato ferroso + Ac. Fólico + Vitamina C","Comprimido","200 mg + 0,5 mg + 150 mg","B03AE10","","0.45","","True",""
"703","B0309","B","3","9","Sulfato ferroso + Ac. Fólico + Vitamina C","Solución oral","125 mg + 0,25 mg + 30 mg","B03AE10","","7.47","30 ml","True",""
"704","R0701","R","7","1","Surfactante pulmonar","Inyectable","25 a 35 mg/ml","R07AA02","","2886.0149999999999","","True",""
"705","M0304","M","3","4","Suxametonio (Succinil colina)","Inyectable","500 mg","M03AB01","","82.88","","True",""
"706","L0410","L","4","10","Tacrolimus","Cápsula","1 mg","L04AA05","R","10.091444444444445","","True",""
"707","L0408","L","4","8","Talidomida","Comprimido","100 mg","L04AX02","R","16.133333333332999","","True",""
"708","L0205","L","2","5","Tamoxifeno","Comprimido","20 mg","L02BA01","","4.32","","True",""
"709","C0905","C","9","5","Telmisartán","Comprimido","40 mg","C09CA07","","6.18","","True",""
"710","C0906","C","9","6","Telmisartán","comprimido","80 mg","C09CA07","","6.91","","True",""
"711","C0907","C","9","7","Telmisartan + hidroclorotiazida","Comprimido","40 mg + 12.5 mg","C09DA07","","7.85","","True",""
"712","C0908","C","9","8","Telmisartan + hidroclorotiazida","Comprimido","80 mg + 12.5 mg","C09DA07","","9.1999999999999993","","True",""
"713","C0909","C","9","9","Telmisartan + hidroclorotiazida","Comprimido","80 mg + 25 mg","C09DA07","","11.14","","True",""
"714","L0151","L","1","51","Temozolomida","Cápsula","20 mg","L01AX03","R","105.73","","True",""
"715","L0152","L","1","52","Temozolomida","Cápsula","100 mg","L01AX04","R","286.74597744360904","","True",""
"716","L0153","L","1","53","Temozolomida","Cápsula","250 mg","L01AX05","R","858","","True",""
"717","B0108","B","1","8","Tenecteplasa","Polvo para Inyectable","50 mg","B01AD11","R","6626.77","","True",""
"718","J0554","J","5","54","Tenofovir disoproxil fumarate + Lamivudine","Comprimido recubierto","300 mg + 300 mg","J05AR12","","0.66","","True",""
"719","J0528","J","5","28","Tenofovir disoproxilo","Comprimido","245 mg (Equiv. a 300 mg como fumarato)","J05AF07","","2.36","","True",""
"720","R0308","R","3","8","Teofilina","Comprimido","300 mg","R03DA04","","4.3133333333333335","","True",""
"721","D0108","D","1","8","Terbinafina","Comprimido","250 mg","D01AE15","","19.75","","True",""
"722","H0103","H","1","3","Terlipresina","Inyectable","1 mg","H01BA04","R","875.16","","True",""
"723","G0318","G","3","18","Testosterona undecanoato","Inyectable","1.000 mg","G03BA03","","1520.65","","True",""
"724","J0154","J","1","54","Tetraciclina","Cápsula o Comprimido","500 mg","J01AA07","","1.3","","True",""
"725","D0105","D","1","5","Tiabendazol","Crema o Pomada","0.05","D01AC06","","15.37","20 g","True",""
"726","P0210","P","2","10","Tiabendazol","Comprimido","500 mg","P02CA02","","2.1","","True",""
"727","P0211","P","2","11","Tiabendazol","Suspensión","500 mg/5 ml","P02CA02","","24","30 ml","True",""
"728","H0304","H","3","4","Tiamazol (Metimazol)","Comprimido","20 mg","H03BB02","","2.6192500000000001","","True",""
"729","A1117","A","11","17","Tiamina (Vitamina B 1)","Comprimido","300 mg","A11DA01","","1.5859374225945193","","True",""
"730","A1118","A","11","18","Tiamina (Vitamina B 1)","Inyectable","100 mg/ml","A11DA01","","3.04","","True",""
"731","S0122","S","1","22","Timolol maleato","Solución oftálmica","0,5%","S01ED01","","41.821780645944791","","True",""
"732","N0115","N","1","15","Tiopental sódico","Inyectable","1 g","N01AF03","","36.848222222222219","","True",""
"733","N0513","N","5","13","Tioridazina","Suspensión","100 mg/5 ml","N05AC02","","33.71","","True",""
"734","N0514","N","5","14","Tioridazina","Comprimido","100 mg","N05AC02","","4.2","","True",""
"735","A1119","A","11","19","Tocoferol (Vitamina E)","Cápsula blanda","1.000 UI","A11HA03","","2.57718765708705","","True",""
"736","J0701","J","7","1","Toxoide tetánico adsorbido","Inyectable","120 UI/ml","J07AM01","","42","","True",""
"737","N0215","N","2","15","Tramadol","Comprimido","50 mg","N02AX02","","3.7399999999999998","","True",""
"738","N0214","N","2","14","Tramadol","Inyectable","100 mg/2 ml","N02AX02","","9.4550000000000001","","True",""
"739","N0217","N","2","17","Tramadol","Solución para gotas orales","100 mg/ml","N02AX02","","96.662374230354573","","True",""
"740","L0142","L","1","42","Trastuzumab","Inyectable","440 mg","L01XC03","R","9000","20 ml","True",""
"741","L0143","L","1","43","Trastuzumab","Inyectable","600 mg","L01XC03","R","19539.7","5 ml","True",""
"742","P0212","P","2","12","Triclabendazol","Comprimido","250 mg","P02BX04","","343.15","","True",""
"743","L0207","L","2","7","Triptorelina","Inyectable","11,25 mg","L02AE04","","4759.18","","True",""
"744","L0208","L","2","8","Triptorelina","Inyectable","22,5 mg","L02AE04","R","8720.8444999999992","","True",""
