"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"610","N0320","N","3","20","Pregabalina","Comprimido o Cápsula","75 mg","N03AX16","R","9.4898484822712525","","True",""
"611","N0321","N","3","21","Pregabalina","Comprimido o Cápsula","150 mg","N03AX16","R","19.57","","True",""
"612","P0115","P","1","15","Primaquina (base)","Comprimido","15 mg","P01BA03","","0.16402600000000001","","True",""
"613","P0116","P","1","16","Primaquina (base)","Suspensión","15 mg/5 ml","P01BA03","","31.59","","True",""
"614","P0120","P","1","20","Primaquina (base)","Comprimido","5 mg","P01BA03","","0.12","","True",""
"615","G0322","G","3","22","Progesterona","Cápsula","200 mg","G03DA04","","7.77","","True",""
"616","H0302","H","3","2","Propiltiouracilo","Comprimido","50 mg","H03BA02","","1.96","","True",""
"617","A0310","A","3","10","Propinoxato","Comprimido","10 mg","A03AC**","","2.5549999999999997","","True",""
"618","A0311","A","3","11","Propinoxato","Inyectable","5 mg/ml","A03AC**","","8.59","2 ml","True",""
"619","N0113","N","1","13","Propofol","Inyectable","10 mg/ml","N01AX10","","73.939617091690351","20 ml","True",""
